timestamp,load_kw,pv_kw,price_per_kWh,gCO2/kWh,net_load_kw
2026-08-01 00:00:00-07:00,15.0,0.0,0.12,320.0,15.0
2026-08-01 00:15:00-07:00,15.0,0.0,0.12,320.0,15.0
2026-08-01 00:30:00-07:00,15.0,0.0,0.12,320.0,15.0
2026-08-01 00:45:00-07:00,15.0,0.0,0.12,320.0,15.0
2026-08-01 01:00:00-07:00,15.0,0.0,0.12,320.0,15.0
2026-08-01 01:15:00-07:00,15.0,0.0,0.12,320.0,15.0
2026-08-01 01:30:00-07:00,15.0,0.0,0.12,320.0,15.0
2026-08-01 01:45:00-07:00,15.0,0.0,0.12,320.0,15.0
2026-08-01 02:00:00-07:00,15.0,0.0,0.12,320.0,15.0
2026-08-01 02:15:00-07:00,15.0,0.0,0.12,320.0,15.0
2026-08-01 02:30:00-07:00,15.0,0.0,0.12,320.0,15.0
2026-08-01 02:45:00-07:00,15.0,0.0,0.12,320.0,15.0
2026-08-01 03:00:00-07:00,15.0,0.0,0.12,320.0,15.0
2026-08-01 03:15:00-07:00,15.0,0.0,0.12,320.0,15.0
2026-08-01 03:30:00-07:00,15.0,0.0,0.12,320.0,15.0
2026-08-01 03:45:00-07:00,15.0,0.0,0.12,320.0,15.0
2026-08-01 04:00:00-07:00,15.0,0.0,0.12,320.0,15.0
2026-08-01 04:15:00-07:00,15.0,0.0,0.12,320.0,15.0
2026-08-01 04:30:00-07:00,15.0,0.0,0.12,320.0,15.0
2026-08-01 04:45:00-07:00,15.0,0.0,0.12,320.0,15.0
2026-08-01 05:00:00-07:00,15.0,0.0,0.12,320.0,15.0
2026-08-01 05:15:00-07:00,15.0,0.0,0.12,320.0,15.0
2026-08-01 05:30:00-07:00,15.0,0.0,0.12,320.0,15.0
2026-08-01 05:45:00-07:00,15.0,0.0,0.12,320.0,15.0
2026-08-01 06:00:00-07:00,25.0,0.0,0.2,250.0,25.0
2026-08-01 06:15:00-07:00,25.0,1.962093876904292,0.2,250.0,23.03790612309571
2026-08-01 06:30:00-07:00,25.0,3.915785766601547,0.2,250.0,21.084214233398452
2026-08-01 06:45:00-07:00,25.0,5.852709660483847,0.2,250.0,19.147290339516154
2026-08-01 07:00:00-07:00,25.0,7.764571353075622,0.2,250.0,17.235428646924376
2026-08-01 07:15:00-07:00,25.0,9.643183959094848,0.2,250.0,15.356816040905152
2026-08-01 07:30:00-07:00,25.0,11.480502970952694,0.2,250.0,13.519497029047306
2026-08-01 07:45:00-07:00,25.0,13.268660706570037,0.2,250.0,11.731339293429963
2026-08-01 08:00:00-07:00,25.0,14.999999999999998,0.2,250.0,10.000000000000002
2026-08-01 08:15:00-07:00,25.0,16.667106990588067,0.2,250.0,8.332893009411933
2026-08-01 08:30:00-07:00,25.0,18.26284287026162,0.2,250.0,6.737157129738382
2026-08-01 08:45:00-07:00,25.0,19.780374453002064,0.2,250.0,5.219625546997936
2026-08-01 09:00:00-07:00,25.0,21.213203435596423,0.2,250.0,3.786796564403577
2026-08-01 09:15:00-07:00,25.0,22.555194224369323,0.2,250.0,2.4448057756306767
2026-08-01 09:30:00-07:00,25.0,23.800600208737055,0.2,250.0,1.1993997912629446
2026-08-01 09:45:00-07:00,25.0,24.944088369076354,0.2,250.0,0.055911630923645816
2026-08-01 10:00:00-07:00,25.0,25.980762113533157,0.2,250.0,-0.9807621135331566
2026-08-01 10:15:00-07:00,25.0,26.906182245980652,0.2,250.0,-1.9061822459806521
2026-08-01 10:30:00-07:00,25.0,27.716385975338603,0.2,250.0,-2.7163859753386035
2026-08-01 10:45:00-07:00,25.0,28.407903884853166,0.2,250.0,-3.407903884853166
2026-08-01 11:00:00-07:00,25.0,28.97777478867205,0.2,250.0,-3.9777747886720505
2026-08-01 11:15:00-07:00,25.0,29.423558412096913,0.2,250.0,-4.423558412096913
2026-08-01 11:30:00-07:00,25.0,29.74334584121431,0.2,250.0,-4.74334584121431
2026-08-01 11:45:00-07:00,25.0,29.935767697158106,0.2,250.0,-4.935767697158106
2026-08-01 12:00:00-07:00,35.0,30.0,0.2,120.0,5.0
2026-08-01 12:15:00-07:00,35.0,29.935767697158106,0.2,120.0,5.064232302841894
2026-08-01 12:30:00-07:00,35.0,29.74334584121431,0.2,120.0,5.25665415878569
